title,author,published_at,description
Suspect arrested in connection with theft of pregnant woman's handbag,Najihah Borhan,"April 30, 2024 @ 12:45pm","KUALA LUMPUR: A man accused of snatching a pregnant woman's handbag at a shopping centre in Seksyen 23, Shah Alam, Selangor, has been placed under remand by the police. Shah Alam police chief Assistant Commissioner Mohd Iqbal Ibrahim said that the victim, a 37-year-old woman expecting her third child, reported the incident on April 22 at 10.57pm. ""The victim, who was shopping alone for childbirth preparations, discovered her bag missing from the restroom where it was hung on the door,"" he explained. Realising the theft, the heavily pregnant woman raised an alarm and sought assistance from the public to apprehend the culprit. He said a check revealed that the 22-year-old suspect had a criminal record involving offences related to theft and drugs. The suspect has been remanded for three days, from April 30 to May 2, under Section 380 of the Penal Code for theft, which carries a maximum penalty of 10 years' imprisonment and a fine upon conviction. Individuals with relevant information are urged to contact Assistant Investigating Officer Sergeant Muhammad Fairunizam Puasa at 013-6616845."
MACC summons Perlis MB to have statement recorded,New Straits Times,"April 30, 2024 @ 12:40pm","PUTRAJAYA: Perlis menteri besar Mohd Shukri Ramli was today hauled up by the Malaysian Anti Corruption Commission (MACC) to have his statement recorded over his son's alleged false claims issue. The 63-year old, who is Perlis Pas Commissioner, was present at the MACC headquarters in Putrajaya early this morning. It was previously reported that the graft busters had detained Shukri's son to facilitate investigations over false claims. The MACC is looking into the alleged supply of drinking water to the Raja of Perlis Tuanku Syed Sirajuddin Putra Jamalullail in its probe into false claims amounting to RM600,0000 involving the son of the Perlis menteri besar. Shukri had then said he would leave it to the MACC to investugate the case. ""There is nothing to worry about or fear over the matter,"" he was previously quoted as saying."
Court to hear Tengku Zafrul's affidavit on 'factual inaccuracies' over Najib's house arrest on Thursday,Rahmat Khairulrijal,"April 30, 2024 @ 12:00pm","KUALA LUMPUR: Tengku Datuk Seri Zafrul Abdul Aziz's bid to intervene in a judicial review application on a purported house arrest order by the former king will be heard on Thursday. He had on April 22 applied to submit an affidavit addressing ""factual inaccuracies"" in another affidavit, which was filed by Datuk Seri Dr Ahmad Zahid Hamidi in support of Datuk Seri Najib Razak's application for judicial review. Najib's lawyer, Muhammad Farhan Muhammad Shafee, confirmed tomorrow's hearing. On Jan 29, the Pardons Board, which the then king presided over, halved Najib's 12-year jail sentence for abuse of power and criminal breach of trust, and reduced his RM210 million fine to RM50 million. Najib claimed in his judicial review application to the High Court on April 1 that the then king had issued an addendum order — also on Jan 29 — allowing him to serve the remainder of his jail sentence under house arrest. The former prime minister wanted the court to compel the government to produce the document. Tengku Zafrul, via the law firm Cecil Abraham & Partners, wrote to High Court judge Datuk Amarjeet Singh's office for permission to file the affidavit to address the allegations in paragraph six of Zahid's affidavit. ""There are factual inaccuracies which ought to be corrected pursuant to the inherent jurisdiction of this honourable court and/or pursuant to Order 92 Rule 4 of the Rules of Court 2012. ""For the record, we are further instructed by our client to state that our client takes no position as to the merits of the dispute between the parties. ""Our client merely wishes to ensure that the facts are accurately placed before this honourable court in a neutral manner,"" the letter said. Umno president Zahid, in his affidavit filed on April 17, claimed that Tengku Zafrul had, on Jan 30, showed him a scanned copy of the original addendum order on his phone at Zahid's house at Country Heights. He also claimed that Zafrul said the original was shown to him by the former king, Al-Sultan Abdullah Ri'ayatuddin Al-Mustafa Billah Shah. Najib named the home minister, Prisons Department commissioner general, attorney-general, Federal Territories Pardons Board, minister in the Prime Minister's Department (Law and Institutional Reform), Legal Affairs Division director-general and the government as respondents in his application He is serving the jail sentence after a conviction for abuse of power and criminal breach of trust involving RM42 million from SRC International, a former 1MDB subsidiary."
Farmer claims trial to publishing seditious remark against King,,"April 30, 2024 @ 11:38am","BUTTERWORTH: A farmer was charged at the Sessions Court here today with publishing a seditious remark and defaming His Majesty Sultan Ibrahim, King of Malaysia. Azman Md Yusof, 45, claimed trial when the charge was read to him by the court interpreter before Judge Noor Aini Yusof. ""'Faham. Tak mengaku salah',"" he said when asked if he understood the charge and for his plea. The father-of-four is alleged to have published a seditious remark and defamed the Yang di-Pertuan Agong through the Khariah Pmtg Sungai Dua WhatsApp group. He allegedly committed the offence at a house in Permatang Sungai Dua, Kepala Batas near here about 8.45pm last Thursday (April 25).  He was charged under Paragraph 4(1)(c) of the Sedition Act 1948 punishable under Subsection 4(1) of the same Act, which carries a maximum three years imprisonment or RM5,000 fine or both upon conviction. State prosecution director Mohd Nordin Ismail prosecuted while the accused was represented by Mohd Izad Buqhary Mohd Kamri. Mohd Nordin told the court that Chegubard (Bersatu information committee member Badrul Hisham Shaharin) was also charged for two similar offences yesterday and was released on a RM20,000 bail. (Hyperlink: ) ""Based on that, the prosecution is proposing a bail of RM10,000 with one surety. ""We also urged the court to impose additional conditions, that the said WhatApp group be deactivated with immediate effect. ""The accused is also refrained from making any such remarks through WhatsApp or any other social media platforms,"" he said. Mohd Izad, meanwhile, pleaded for a lower bail, saying that his client was only working as a farmer with no fixed income and has four school-going children, aged 16, 14, six and four. ""His family is dependent on him as his wife is not working. ""My client also pledged not to repeat similar mistakes in future and will adhere to the prosecution's additional conditions. ""If possible, we are asking for RM5,000 bail, similar to the fine for this offence. Noor Aini set bail at RM6,500 with one surety and fixed May 20 for mention pending the submission of documents. She also ordered the said WhatsApp group be deactivated. ""The accused is also not allowed to make any such postings on social media until the end of the case,"" she added. Azman's wife and elderly mother were among those seated in the public gallery."
(UPDATED) Malaysian Bar challenges Pardons Board's decision on Najib's sentence reduction,,No published date found,"KUALA LUMPUR: The Malaysian Bar has filed a judicial review to challenge the Pardons Board over its decision to reduce former Prime Minister Datuk Seri Najib Razak's prison term by half for his SRC International corruption conviction. In the application filed on April 26, the Malaysian Bar wanted the Federal Territories Pardons Board (FTPB)'s decision against Najib made on Jan 29 as unlawful, unconstitutional and void. The Malaysian Bar is also seeking a permanent injunction to restrain Najib, his servants, and agents from submitting any application for pardon until he publicly accepted responsibility and expressed repentance for his actions. Bar Council secretary Murshidah Mustafa, in her supporting affidavit claimed the FTPB's decision is a betrayal of the nation's trust and belief in investigating and prosecuting a corrupt figure who abused their position. She claimed FTPB's decision violates Article 8 (1) of the Federal Constitution by giving Najib priority or special treatment not afforded to other convicted prisoners who have been sentenced and applied for pardon. On March 16, the motion to file the judicial review was passed during the Malaysian Bar 78th Annual General Meeting (AGM). The newly-elected Malaysian Bar president Mohamed Ezri Abdul Wahab said 238 members supported the motion, with one member objecting. On Feb 2, the Federal Territories Pardons Board reduced Najib's fine as well as halved his 12-year jail term to six. This means that the former prime minister will be released from prison on Aug 23, 2028. Najib is currently serving a 12-year jail term after he was found guilty of one count of abuse of power about Retirement Fund Inc's (KWAP) RM4 billion loan to SRC International Sdn Bhd, as well as three counts each for criminal breach of trust and abuse of power involving RM42 million of SRC funds. He was also fined RM210 million. SRC is a former subsidiary of 1Malaysia Development Bhd (1MDB). The sentence was meted out by the High Court on July 28, 2020. On Oct 19 of the same year, Najib filed a petition of appeal which contained 307 grounds of appeal on why he should be freed of the charges. On Dec 8, 2021, the Court of Appeal upheld the High Court's decision and dismissed Najib's appeal to set aside his conviction and jail sentence in the SRC case. On Aug 23, 2022, the Federal Court upheld the conviction. The 70-year-old former Pekan member of Parliament is still facing four charges of abusing his position to obtain bribes totalling RM2.3 billion of 1MDB funds and 21 charges of money laundering involving the same amount."
Two water company officers held over RM3.3 mil bribery case,Mohamed Farid Noh,"April 30, 2024 @ 10:21am","JOHOR BARU: Two senior officers of a water supply company here were detained yesterday for allegedly taking RM3.3 million in bribes from two contractors. Sources said the Malaysian Anti-Corruption Commission (MACC) arrested the two officers, aged 36 and 40, at the commission's Selangor headquarters about 2pm. ""The investigations began following a 2023 report alleging that the two officers had taken bribes from the two owners of contractor companies. ""The bribes were inducements for the two officers to assist the comapnies to obtain contracts from the water supply company. ""The suspects produced documents containing false information regarding an application for donations for a programme amounting to RM3.3 million, when in fact the programme in question was never fully implemented,"" said a source. Johor MACC director Datuk Azmi Alias, when contacted, confirmed the arrests of the two officers. ""We will bring the two men this morning to the Johor Baru magistrate's court where we will seek remand orders to detain them,"" he said. The case is being investigated under sections 16(a)(A) and 18 of the MACC Act 2009."
Chegubard arrives at Johor Baru court to face more charges [NSTTV],Mohamed Farid Noh,"April 30, 2024 @ 9:43am","JOHOR BARU: Bersatu information committee member Badrul Hisham Shaharin, better known as Chegubard, arrived at the court complex here at 8.50am as he prepares to face at least one more charge. Dressed in a white shirt and black slacks, he appeared calm as he walked into the complex accompanied by his lawyer, Muhammad Rafique Rashid Ali. Badrul Hisham is expected to face at least one more sedition charge at the Sessions Court here later, this time over a social media posting regarding a purported casino project in Forest City based on a Bloomberg report which has since been denied. In Kuala Lumpur yesterday, the 45-year-old was charged with two counts under the Sedition Act for making seditious remarks and defaming the Yang di-Pertuan Agong. Badrul Hisham claimed trial to both charges as soon as they were read before Sessions judge Siti Aminah Ghazali."
More individuals to face charges over seditious WhatsApp messages regarding casino,News Straits Times,"April 30, 2024 @ 12:04am","KUALA LUMPUR: Bukit Aman's Classified Crime Investigation Unit (USJT) is set to press charges tomorrow in a case involving alleged seditious messages circulated within the Whatsapp group 'Khariah Pmtg Sungai Dua' . The messages allegedly discussed negotiations surrounding the establishment of a casino in Forest City, and allegedly also mentioned the Yang di-Pertuan Agong. The case is scheduled to be heard at the Butterworth Magistrate's Court in Penang at 8.30am tomorrow.  "
JIPS detains police officer for drug possession,Iylia Marsya Iskandar,"April 29, 2024 @ 11:18pm","KUALA LUMPUR: The federal police Integrity and Standards Compliance Department (JIPS) has detained a police officer from the Gerik Police Headquarters for being in possession of drugs in his cupboard. Perak police chief Datuk Seri Mohd Yusri Hassan Basri has confirmed the matter to the New Straits Times adding that they have opened an investigation paper.""Yes (we have opened an investigation paper), that's all that I can say,"" he said in a brief text message. Earlier today, a police report of a JIPS officer, in an inspection, detaining an inspector from the Gerik Narcotics Crime Investigation Department went viral. The report claimed that the police officer had three different types of drugs, heroin, cannabis and methamphetamine in his cupboard."
Puzzle of bike and bones in oil palm estate in Gemas,Bernama,"April 29, 2024 @ 11:12pm","SEREMBAN: Skeletal remains, believed to be that of a human, were found in an oil palm plantation at Felda Sungai Kelamah in Gemas, Tampin at about 2.10 pm today. Tampin police chief Supt Amiruddien Sariman said officers at the Gemas police station were notified of the discovery by members of the public. ""Based on that information, police went to the scene and found a human skeleton from the waist down to the feet in a dry ditch along with a motorcycle. ""A helmet and belt as well as a human skull were also found... the distance between the human skeleton and the motorcycle was approximately 15 metres, the spinal bones were 10m away and the skull approximately 80m away,"" he said here today. He said the skeleton and bones were sent to the Tampin Hospital Forensic Department for a post-mortem and DNA test. The case is being investigated as sudden death and investigations are still ongoing to determine the identity and cause of death.] – BERNAMA"
MACC arrests former civil servant in Malay Reserve Land fraud,Bernama,"April 29, 2024 @ 11:04pm","KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) has arrested a former civil servant on suspicion of defrauding a state government agency, resulting in the fragmentation of Malay Reserve Land covering an area of approximately 649.2 hectares. MACC sources revealed that the male suspect, aged around 60, is also suspected of deception by falsely claiming that the land was not Malay Reserve Land. Without specifying when and where the suspect was apprehended, the source stated that preliminary investigations indicated that the suspect allegedly committed the offense in 2012 while still a civil servant. ""It is understood that all the affected land has been divided and sold to non-Malays,"" the source told Bernama here today. Meanwhile, MACC's senior director of Investigations, Datuk Seri Hishamuddin Hashim, confirmed the arrest and stated that the case was investigated under Section 418 of the Penal Code (Act 574). He added that the suspect will be charged in the Ipoh Sessions Court tomorrow. – BERNAMA"
"Order for Bung Moktar, wife to answer graft charges contrary to court evidence - High Court judge",Bernama,"April 29, 2024 @ 9:21pm","KUALA LUMPUR: The High Court ruled that the Sessions Court's decision to order Kinabatangan Member of Parliament Datuk Seri Bung Moktar Radin and his wife Datin Seri Zizie Izette Abdul Samad to enter their defence on three corruption charges was contrary to the evidence in court that there were no requests of bribery. Judge Datuk Azhar Abdul Hamid in his judgment dated April 20 said two prosecution star witnesses namely the 24th prosecution witness (PW24), Public Mutual Berhad's investment agent Madhi Abdul Hamid and PW25 Unit Amanah consultant, Norhaili Ahmad Mokhtar clearly stated in their oral evidence in court that no element of gratification exist in the case. ""PW24 when cross-examination by the prosecution denied that the RM2.8 million paid to the second accused (Zizie Izette) at Public Bank Taman Melawati was meant for the first accused (Bung Moktar). ""PW25 also confirmed that no element of gratification nor request for such, existed in this case as there was no such request from either accused. She also confirmed that the money (RM2.8 million) paid to the second accused was an introduction fee,"" the judge said. Judge Azhar further said, in the face of these evidence, the Sessions Court judge elected to accept former statements of these two witnesses which were given to the Malaysian Anti-Corruption Commission (MACC) during the course of investigation. ""The Sessions Court judge made a determination that the oral evidence of these two witnesses do not give effect to the charges against both the accused,"" he added. The judge also said the court was of the opinion that the basis of the Sessions Court judge finding a prime facie case having made out was clearly incorrect and perverse, and causes great injustice to both the accused. According to the judge, the court of the view that this was a fit and proper case for this court to exercise its revisionary power. ""Both the applications are therefore allowed and the Sessions Court judgement was set aside and substituted with an order of acquittal and discharge without calling for them to enter their defence,"" he said. Bung Moktar and Zizie Izette were acquitted on Sept 7, last year after the High Court allowed their revision applications against the Sessions Court's decision in ordering them to enter their defence on the corruption charges. Following this, the prosecution filed an appeal on Sept 18, last year and the Court of Appeal has set July 29 to hear the appeal. On Sept 2, 2022, the Sessions Court ordered the couple to enter their defence on all three corruption charges. This prompted them to file revision applications in the High Court against the Sessions Court's ruling. Bung Moktar, who was then the non-executive chairman of Felcra, was charged on May 3, 2019 with two charges of accepting bribes of RM2.2 million and RM262,500 as an inducement to obtain Felcra approval to invest RM150 million in Public Mutual unit trusts. He was alleged to have accepted the bribes from Madhi through Zizie Izette at Public Bank Taman Melawati Branch here between 12.30 pm and 5 pm on June 12, 2015. Bung Moktar was also charged with receiving RM337,500 in cash from Norhaili, under the name of Zizie Izette for the same reason and place on June 19, 2015, while Zizie Izette was charged with three charges of abetting her husband over the matter at the same place, date and time. – Bernama"
"Kelantan police arrest two Orang Asli men with more than 2,000 Yaba pills, ketum",,No published date found,"      He added that throughout the period, police also seized various types of drugs worth about RM1.04 million, comprising Yaba pills, heroin, ganja, syabu, eremin pills, psychotropic pills, ketum leaves and ketum juice. Muhamad Zaki said in a followup operation, the General Operations Force seized a Volkswagen Scirocco and Proton Persona in Ketereh, here at 4.15 pm last Saturday and seized 2,400 and 2,000 Yaba pills from the respective vehicles. He added that through a cooperation with the Thailand enforcement authorities, Kelantan police were able to prevent the entry of a new drug type called fentanyl which is said to be 100 times more dangerous than heroin although there were attempts before. ""Last Friday, a delegation from the Thailand parliament were in Kelantan to discuss issues of safety along the border, including the dangers of the fentanyl drugs. Those who consume fentanyl will transform into 'zombies',"" he said. – BERNAMA"
"Man escapes gallows after killing friend, living with body for four days [NSTTV]",Bernama,"April 29, 2024 @ 8:54pm","PUTRAJAYA: An odd job worker who was found guilty of killing his village friend and living with the corpse for four days, had his death sentence commuted to 30 years' jail by the Court of Appeal today. The three-man panel led by judge Datuk Hadhariah Syed Ismail also ordered Mohd Azhud Ibrahim, 33, to be given 12 strokes of the rotan. The panel which comprised Justices Datuk Azmi Ariffin and Datuk S.M. Komathy Suppiah also dismissed Mohd Azhud's appeal to overturn his conviction. The court, however, substituted the death sentence imposed on Mohd Azhud to 30 years' jail with 12 strokes of the rotan. In affirming Mohd Azhud's conviction for the murder offence, Justice Hadhariah said circumstantial evidence showed that it was the accused who murdered Ahmad Azam Ahmad. Mohd Azhud was appealing against the Feb 21, 2023 decision of the Ipoh High Court in sentencing him to death after finding him guilty for killing Ahmad Azam, 43, at a house in Lorong Mohd Ali Kampung Bahagia, Teluk Intan, Perak at 12.10 midnight on Aug 10, 2018. According to the facts of the case, a friend of Mohd Azhud who went to the house smelled a foul odour inside the house. He asked Mohd Azhud about foul odour and Mohd Azhud told him that there was a dead person. The friend said Mohd Azhud had said ""I am angry with him for a long time. I am upset. In his testimony from the dock, Mohd Azhud claimed that he had no intention of murdering his friend after both were involved in a fight. He said he hit his friend to protect himself as his friend was aggressive at that time. He claimed after the fight, he took ganja and slept for two days and when he woke up he realised the deceased was lying motionless on the floor and was not breathing. He said he had thought of digging a hole at the back of his house to bury Ahmad Azam's body but could not bring himself to do it so he decided to live together with the body. A post mortem report showed that the deceased sustained 23 external injuries and severe injuries to the head and chest. Lawyer Gurbachan Singh, Gobindeep Singh and Aashwini Rajan represented Mohd Azhud while deputy public prosecutor Zaki Ashraf Zubir appeared for the prosecution. – BERNAMA"
Foreigner who murdered Grab driver in 2019 gets 40 years jail,Ersie Anjumin,"April 29, 2024 @ 7:47pm","KOTA KINABALU: A Filipino man was sentenced to a maximum of 40 years' imprisonment and 12 strokes of the rotan by the High Court here for murdering an e-hailing driver five years ago. Judge Leonard David Shim meted out the sentence on Arsit Indanan, 24, after finding that the prosecution had proven the case beyond reasonable doubt. Arsit, who is an undocumented migrant, was found guilty of murdering Mohammad Hanafiee Jaffar, 27, in a car between 4am and 5am on May 25, 2019, in Jalan Marabahai near here. In sentencing Arsit, Shim said that the accused's defence was an afterthought and mere denial. However, he also said that the court had taken into account the recent development of the law on the death penalty. The offence under Section 302 of the Penal Code provided for a death sentence upon conviction. But the Abolition of Mandatory Death Penalty Act 2023 (Act 846) allowed the court's discretion to either impose a death sentence or imprisonment of between 30 and 40 years, in addition to no fewer than 12 strokes of the rotan. In mitigation, lawyer Muhamad Amirul Amin told the court that Arsit was a first-time offender and he was suffering from mental health issues. Earlier, the prosecution comprising deputy public prosecutors Rozana Abdul Hadi, Azreen Yas Mohamad Ramli and Siti Hajar Mazlan, had asked for the death penalty due to the violent nature of the case. They highlighted the brutality of the murder, whereby the victim's neck was dislocated besides his body being found with stab and slash wounds. The accused also tried to dispose of the body and car at two locations. Hanafiee's body was found a few days after his murder, where it had begun to decompose. The post-mortem report also stated that the body had been partially eaten by animals. ""An innocent soul was lost during Ramadan of 2019. The deceased, that fateful morning, was only looking for extra income. Little did he know the ride he gave that morning was going to be his last. ""No parents should ever have to endure the pain of burying their child. No one can ever imagine the traumatic impact faced by the family in losing a young son and beloved one, especially in such a tragic and untimely death,"" said the prosecution. The prosecution had called 23 witnesses since the trial commenced on May 8 last year. Arsit was the sole witness in his own defence. Previously, he was jointly charged with his friend Amru Al Asy Japri, 27. However, on Jan 31 last year, Amru was given a discharge not amounting to an acquittal by the same court."
Two men arrested in connection with Kapar murder case,Dawn Chan,"April 29, 2024 @ 5:16pm","KLANG: Two men have been arrested on suspicion of murdering a 38-year-old man in Kapar after he was assaulted by four assailants armed with parang and taser guns. Klang Utara district police chief Assistant Commissioner S.Vijaya Rao said the men aged 25 and 29 were nabbed in the Kapar area. ""The first man was arrested on Saturday and he has been remanded for seven days. ""The second man was arrested today. We will apply for a remand order against him tomorrow,"" he said today. Vijaya had on last Thursday said, intruders armed with the weapons were captured on closed circuit television footage entering the deceased's home in Taman Jaya, Kapar. One more man was seen in the recording waiting in an unidentified Perodua Myvi. Investigators at the scene found the victim lying face down in front of a bedroom. Vijaya said the case was being probed under Section 302 of the Penal Code."
Police arrest 19 people believed to be involved in investment scam syndicate,Bernama,"April 29, 2024 @ 5:09pm","JOHOR BARU: Johor police arrested 19 individuals believed to be involved in an investment scam syndicate through three separate raids around the city, on Thursday. State police chief CP M Kumar said those arrested consisted of eight local men and seven women as well as four foreign men, aged 16 to 38. ""Investigations found that the syndicate has been operating since February, turning three fenced and guarded rental homes into call centres by offering a salary of RM2,500 per month to members who become call agents, while supervisors are paid up to RM7,000 per month. ""The syndicate also prepared conversation scripts using endearing, romantic terms before asking the victim to make an investment by promising a lucrative return,"" he said at a press conference at the Johor continent police headquarters here today. He said of the 19 individuals arrested, one was a supervisor, while the rest were call agents, with the syndicate targeting local and international victims through various social media platforms including Telegram, TikTok and WeChat.  He said the caller would get to know the victim first as if he cared about the victim's well-being before asking the victim to make an investment. Once the victim agreed, the victim would be introduced to other individuals posing as financial and investment experts,"" he said. Kumar said police also seized 73 mobile phones, 40 SIM cards, 16 pieces of conversation scripts, a vehicle, a modem unit and a set of keys. ""The case is being investigated under Section 420 of the Penal Code and also Section 6(1)(C) of the Immigration Act 1959/63,"" he said, adding that all the individuals were remanded since Friday to assist the investigation. -- BERNAMA"
"Kelantan cops on high alert for 'zombie drug' fentanyl, says state police chief",Sharifah Mahsinah Abdullah,"April 29, 2024 @ 5:08pm","KOTA BARU: Police have been put on high alert for the possible entry of fentanyl, also known as the 'zombie drug', into Malaysia.   It has been attributed as the leading cause of death in the US among people aged 18 to 45. Kelantan police chief Datuk Muhamad Zaki Harun said he recently met with Thai parliament representatives, during which he was informed that the drug has already been detected in Thailand. He also noted that in Dec last year, the Royal Malaysian Customs Department seized 807.9kg of fentanyl worth RM44.4 million at the Kuala Lumpur International Airport (KLIA) Air Cargo Complex in Sepang. The drugs, packaged in aluminium bottles, were bound for Dubai. Zaki said police have reason to believe that should drug syndicates make an attempt to smuggle fentanyl into Malaysia, it would be via the Kelantan - Thailand border. ""During my recent meeting with Thai parliament representatives last week, we were told that fentanyl has begun entering Thailand. ""We learnt that the drugs came into Thailand via its border with Myanmar, which is also close to our border. ""Based on this, there is a real possibility of the drugs to entering Malaysia via the Thai - Kelantan border,"" he said at a press conference yesterday. He said state police would be liaising with its Thai counterparts on how to fortify the border. Meanwhile, it is learnt that the area of concern in Kelantan is the Pasir Mas district, in which the town of Rantau Panjang is separated from Thailand via Sungai Golok. Malaysia shared around 96km of Sungai Golok with Thailand. The General Operations Force Southeast Brigade manages a 59km stretch from Pos Ibrahim Pencen to Pulau Tengkorak. It is understood that the presence of more than 160 illegal jetties along Sungai Golok is a major concern for the authorities as these could be used for smuggling activities. The New Straits Times had earlier this month reported how the hot weather and subsequent drying up of Sungai Golok had made it easier for smugglers to cross the river, which can now be done within a minute. Among the items smuggled across include subsidised food items, drugs and even firearms."
"Kelantan cops on high alert for 'zombie drug' fentanyl, says state police chief",Sharifah Mahsinah Abdullah,"April 29, 2024 @ 5:08pm","KOTA BARU: Police have been put on high alert for the possible entry of fentanyl, also known as the 'zombie drug', into Malaysia. The drug, a synthetic opioid reputedly 50 times stronger than heroin and 100 times stronger than morphine, has already made its way into Thailand, and the authorities now fear that Malaysia could be its next destination. Fentanyl has been blamed for fuelling what has been described as the worst drug crisis in the history of the United States. It has been attributed as the leading cause of death in the US among people aged 18 to 45. Kelantan police chief Datuk Muhamad Zaki Harun said he recently met with Thai parliament representatives, during which he was informed that the drug has already been detected in Thailand.             "
"Police find no case of paedophilia at MRSM Tumpat, only defamation against teacher",Sharifah Mahsinah Abdullah,"April 29, 2024 @ 4:26pm","KOTA BARU: Police today have confirmed that there was no case of paedophilia involving a teacher at Mara Junior College (MRSM) Tumpat near here. Kelantan police chief Datuk Muhamad Zaki Harun said investigations revealed that the case more likely involved defamation against the accused. ""We already completed our investigations into the case recently after taking statements from 14 individuals, including the school's teachers and students. ""We did not find any signs of sexual harassment taking place at the school and no case of paedophilia occurred as claimed by certain quarters there. ""We have sent a medical report of a woman who spread the accusation on social media to examine whether she is suffering from mental illness.""  He said investigations into the case found that the accused teacher was a well-liked person in the school. ""Police believe he has been slandered by the 24-year-old woman,"" Zaki added. Yesterday, Zaki said police had recorded statements from 14 individuals to facilitate its investigations into the case. He said police had also identified the individual who uploaded the accusation on social media. He added that the person was a former student of the college, and police had sent the investigation papers to the deputy public prosecutor's office and were awaiting their response. Last month, Zaki confirmed that police had received a report on defamation lodged by the MRSM Tumpat teacher over accusations of paedophilia levelled against him on social media. The report, he said, was lodged against a female student who accused the teacher of the act. Following the report, police opened an investigation paper under Section 500 of the Penal Code for defamation and Section 233 of the Communications and Multimedia Act 1998 for improper use of network facilities or services to make or spread comments online."
Remand on woman allegedly responsible for fatal crash on LPT1 to be extended [NSTTV],Roselan Ab Malek,"April 29, 2024 @ 3:17pm","TEMERLOH: The remand period for a 35-year-old woman who was arrested following a fatal accident involving a high-powered motorcycle on the East Coast Expressway (LPT1) on April 26, will be extended. The woman and the passenger of her vehicle were earlier remanded for three days to assist in investigations. Temerloh district police chief Assistant Commissioner Mazlan Hassan said police sought an extension to the remand period to complete the investigation. ""Today is an extension (remand), there is no decision (on the detention period) yet,"" he said here, today (April 29). In an incident last Friday (April 26), a 34-year-old man, who worked as a musician at Kuala Lumpur City Hall (KL City Hall), died after his high-powered motorcycle collided with a Mitsubishi Triton four-wheel drive vehicle. The four-wheel drive which was on the right lane had braked to avoid the woman who ran across the road. The case is being investigated under Section 304(A) of the Penal Code for causing death through negligence."
"Ex-local council worker fined RM7,000 for cheating old folks home manager",Dawn Chan,"April 29, 2024 @ 2:12pm","SHAH ALAM: A former Selayang Municipal Council general worker was fined RM7,000 by the Sessions Court today on two charges of cheating an old folks welfare home manager in 2022. Judge Awang Kerisnada Awang Mahmud meted out the sentence on Murugan Muniyandy, 43, after he pleaded guilty to two alternative charges under Section 417 of the Penal Code. Murugan told the court he understood the charges after it was read out in Tamil by the court interpreter. The charge sheets read that Murugan induced Gnanam Govindasamy into handing over RM2,300 and RM200 to obtain the council's auctioned goods and contribution for the Aidilfitri celebrations. Murugan committed the offences at Taman Selayang Segar and in front of a bank in Jalan Raja Laut on April 4 and 10, 2022.   Gnanam had contacted Murugan to get pictures of the auctioned goods but it was never furnished. On April 10, Gnanam banked in RM200 to Murugan's account after he asked for Aidilfitri contributions. However, the council's probe revealed obtaining the auctioned goods was out of Murugan's work jurisdiction while the Aidilfitri do was only for its staff and there was no request to seek for contributions. Murugan was arrested by the Selangor Malaysian Anti-Corruption Commission on Nov 22 last year at its headquarters. MACC prosecuting officer Mohd Aliff Shaharuzaman asked the court to impose a deterrent sentence to reflect the severity of such cases, which are rampant in the society. He asked the court to consider the interest of the public rather than an individual. In mitigation, defence counsel Komagan Kanan said Murugan, a bachelor, was terminated from his job after the incident and worked as a lorry attendant earning RM1,500 monthly. He said Murugan was unable to work for the past two months due to chronic diabetes complications on his right leg and was receiving treatment at the Selayang Hospital. ""This is his first offence and I plead to the court to give him a last chance to better himself with a minimum punishment. ""He has promised not to repeat the mistake and the charges had impacted him, on top of his health condition,"" he said. Judge Awang Kerisnada fined Murugan RM5,000 in default five months jail and RM2,000 in default two months jail for both charges."
